,Player,Team,Number,Position,Height,Weight,Last Attended,Country
251,LukeKennard,LAC,5,G,6-5,206 lbs,Duke,USA
252,LouisKing,SAC,23,F,6-7,205 lbs,Oregon,USA
253,CoreyKispert,WAS,24,F,6-6,224 lbs,Gonzaga,USA
254,MaxiKleber,DAL,42,F,6-10,240 lbs,Bayern Munich,Germany
255,NathanKnight,MIN,30,F-C,6-10,253 lbs,William & Mary,USA
256,KevinKnox II,NYK,20,F,6-7,215 lbs,Kentucky,USA
257,JohnKonchar,MEM,46,G,6-5,210 lbs,Indiana-Purdue Fort Wayne,USA
258,FurkanKorkmaz,PHI,30,G-F,6-7,202 lbs,Anadolu Efes,Turkey
259,VitKrejci,OKC,27,G,6-8,195 lbs,Zaragoza,Czech Republic
260,ArnoldasKulboka,CHA,98,F,6-10,209 lbs,Bilbao,Lithuania
261,JonathanKuminga,GSW,00,F,6-7,225 lbs,NBA G League Ignite,DRC
262,KyleKuzma,WAS,33,F,6-9,221 lbs,Utah,USA
263,ZachLaVine,CHI,8,G-F,6-5,200 lbs,UCLA,USA
264,JeremyLamb,IND,26,G-F,6-5,180 lbs,Connecticut,USA
265,JockLandale,SAS,34,C,6-11,255 lbs, ,Australia
266,RomeoLangford,BOS,9,G-F,6-5,216 lbs,Indiana,USA
267,JakeLayman,MIN,10,F,6-8,209 lbs,Maryland,USA
268,CarisLeVert,IND,22,G,6-6,205 lbs,Michigan,USA
269,DamionLee,GSW,1,G-F,6-5,210 lbs,Drexel,USA
270,SabenLee,DET,38,G,6-2,183 lbs,Vanderbilt,USA
271,AlexLen,SAC,25,C,7-0,250 lbs,Maryland,Ukraine
272,KawhiLeonard,LAC,2,F,6-7,225 lbs,San Diego State,USA
273,ScottieLewis,CHA,16,G,6-5,185 lbs,Florida,USA
274,KiraLewis Jr.,NOP,13,G,6-1,170 lbs,Alabama,USA
275,DamianLillard,POR,0,G,6-2,195 lbs,Weber State,USA
276,NassirLittle,POR,9,F-G,6-5,220 lbs,North Carolina,USA
277,IsaiahLivers,DET,12,F,6-6,232 lbs,Michigan,USA
278,KevonLooney,GSW,5,F,6-9,222 lbs,UCLA,USA
279,BrookLopez,MIL,11,C,7-0,282 lbs,Stanford,USA
280,RobinLopez,ORL,33,C,7-0,281 lbs,Stanford,USA
281,DidiLouzada,NOP,0,G,6-5,188 lbs,Sydney Kings,Brazil
282,KevinLove,CLE,0,F-C,6-8,251 lbs,UCLA,USA
283,KyleLowry,MIA,7,G,6-0,196 lbs,Villanova,USA
284,TimotheLuwawu-Cabarrot,ATL,7,G-F,6-7,215 lbs,Mega Basket,France
285,TreyLyles,DET,8,F,6-9,234 lbs,Kentucky,Canada
286,TheoMaledon,OKC,11,G,6-4,175 lbs,Asvel,France
287,SandroMamukelashvili,MIL,54,F-C,6-9,240 lbs,Seton Hall,Georgia
288,TeranceMann,LAC,14,G-F,6-5,215 lbs,Florida State,USA
289,TreMann,OKC,23,G,6-3,178 lbs,Florida,USA
290,BobanMarjanovic,DAL,51,C,7-3,290 lbs,Crvena zvezda,Serbia
291,LauriMarkkanen,CLE,24,F-C,6-11,240 lbs,Arizona,Finland
292,NajiMarshall,NOP,8,F,6-7,220 lbs,Xavier,USA
293,CalebMartin,MIA,16,F,6-5,205 lbs,Nevada-Reno,USA
294,CodyMartin,CHA,11,F,6-6,205 lbs,Nevada-Reno,USA
295,KelanMartin,IND,21,F,6-5,230 lbs,Butler,USA
296,KenyonMartin Jr.,HOU,6,F,6-5,215 lbs,IMG Academy (FL),USA
297,GarrisonMathews,HOU,25,G,6-5,215 lbs,Lipscomb,USA
298,TyreseMaxey,PHI,0,G,6-2,200 lbs,Kentucky,USA
299,SkylarMays,ATL,4,G,6-4,205 lbs,Louisiana State,USA
300,MilesMcBride,NYK,2,G,6-1,195 lbs,West Virginia,USA
301,CJMcCollum,POR,3,G,6-3,190 lbs,Lehigh,USA
302,T.J.McConnell,IND,9,G,6-1,190 lbs,Arizona,USA
303,JadenMcDaniels,MIN,3,F,6-9,185 lbs,Washington,USA
304,JalenMcDaniels,CHA,6,F-C,6-9,205 lbs,San Diego State,USA
305,DougMcDermott,SAS,17,F,6-7,225 lbs,Creighton,USA
306,JaValeMcGee,PHX,00,C-F,7-0,270 lbs,Nevada-Reno,USA
307,RodneyMcGruder,DET,17,G,6-4,205 lbs,Kansas State,USA
308,JaQuoriMcLaughlin,DAL,,G,6-4,190 lbs,California-Santa Barbara,USA
309,JordanMcLaughlin,MIN,6,G,5-11,185 lbs,Southern California,USA
310,BenMcLemore,POR,23,G,6-3,195 lbs,Kansas,USA
311,De'AnthonyMelton,MEM,0,G,6-2,200 lbs,Southern California,USA
312,SamMerrill,MEM,25,G,6-4,205 lbs,Utah State,USA
313,ChimezieMetu,SAC,7,F-C,6-9,225 lbs,Southern California,USA
314,KhrisMiddleton,MIL,22,F,6-7,222 lbs,Texas A&M,USA
315,PattyMills,BKN,8,G,6-0,180 lbs,St.Mary's College of California,Australia
316,PaulMillsap,BKN,31,F,6-7,257 lbs,Louisiana Tech,USA
317,ShakeMilton,PHI,18,G-F,6-5,205 lbs,Southern Methodist,USA
318,DavionMitchell,SAC,15,G,6-0,202 lbs,Baylor,USA
319,DonovanMitchell,UTA,45,G,6-1,215 lbs,Louisville,USA
320,EvanMobley,CLE,4,C,6-11,215 lbs,Southern California,USA
321,MalikMonk,LAL,11,G,6-3,200 lbs,Kentucky,USA
322,MosesMoody,GSW,4,G,6-5,211 lbs,Arkansas,USA
323,E'TwaunMoore,ORL,55,G,6-3,191 lbs,Purdue,USA
324,JaMorant,MEM,12,G,6-3,174 lbs,Murray State,USA
325,MarkieffMorris,MIA,8,F,6-9,245 lbs,Kansas,USA
326,MonteMorris,DEN,11,G,6-2,183 lbs,Iowa State,USA
327,MarcusMorris Sr.,LAC,8,F,6-8,218 lbs,Kansas,USA
328,MychalMulder,ORL,15,G,6-3,184 lbs,Kentucky,Canada
329,TreyMurphy III,NOP,25,F,6-8,206 lbs,Virginia,USA
330,DejounteMurray,SAS,5,G,6-4,180 lbs,Washington,USA
331,JamalMurray,DEN,27,G,6-3,215 lbs,Kentucky,Canada
332,MikeMuscala,OKC,33,F-C,6-10,240 lbs,Bucknell,USA
333,SviMykhailiuk,TOR,14,G-F,6-7,205 lbs,Kansas,Ukraine
334,AbdelNader,PHX,11,F,6-5,225 lbs,Iowa State,Egypt
335,LarryNance Jr.,POR,11,F-C,6-7,245 lbs,Wyoming,USA
336,RJNembhard Jr.,CLE,5,G,6-4,200 lbs,TCU,USA
337,AaronNesmith,BOS,26,G-F,6-5,215 lbs,Vanderbilt,USA
338,RaulNeto,WAS,19,G,6-2,180 lbs,Murcia,Brazil
339,GeorgesNiang,PHI,20,F,6-7,230 lbs,Iowa State,USA
340,DaishenNix,HOU,15,G,6-4,226 lbs,NBA G League Ignite,USA
341,ZekeNnaji,DEN,22,F-C,6-9,240 lbs,Arizona,USA
342,NerlensNoel,NYK,3,C-F,6-11,220 lbs,Kentucky,USA
343,JaylenNowell,MIN,4,G,6-4,201 lbs,Washington,USA
344,FrankNtilikina,DAL,21,G,6-4,200 lbs,Strasbourg IG,France
345,KendrickNunn,LAL,12,G,6-2,190 lbs,Oakland,USA
346,JusufNurkic,POR,27,C,6-11,290 lbs,Cedevita,Bosnia and Herzegovina
347,DavidNwaba,HOU,2,G-F,6-5,219 lbs,Cal Poly,USA
348,JordanNwora,MIL,13,F,6-8,225 lbs,Louisville,USA
349,RoyceO'Neale,UTA,23,F,6-5,226 lbs,Baylor,USA
350,SemiOjeleye,MIL,37,F,6-6,240 lbs,Southern Methodist,USA
351,ChumaOkeke,ORL,3,F,6-6,229 lbs,Auburn,USA
352,JoshOkogie,MIN,20,G,6-4,213 lbs,Georgia Tech,Nigeria
353,OnyekaOkongwu,ATL,17,F-C,6-8,240 lbs,Southern California,USA
354,IsaacOkoro,CLE,35,F-G,6-5,225 lbs,Auburn,USA
355,KZOkpala,MIA,11,F-G,6-8,215 lbs,Stanford,USA
356,VictorOladipo,MIA,4,G,6-4,213 lbs,Indiana,USA
357,KellyOlynyk,DET,13,F-C,6-11,240 lbs,Gonzaga,Canada
358,EugeneOmoruyi,DAL,,F,6-6,235 lbs,Oregon,Nigeria
359,MiyeOni,UTA,81,G-F,6-5,206 lbs,Yale,USA
360,CediOsman,CLE,16,F,6-7,230 lbs,Anadolu Efes,Turkey
361,KellyOubre Jr.,CHA,12,F-G,6-6,203 lbs,Kansas,USA
362,KevinPangos,CLE,6,G,6-1,179 lbs,Gonzaga,Canada
363,JabariParker,BOS,20,F,6-7,245 lbs,Duke,USA
364,EricPaschall,UTA,0,F,6-6,255 lbs,Villanova,USA
365,ChrisPaul,PHX,3,G,6-0,175 lbs,Wake Forest,USA
366,CameronPayne,PHX,15,G,6-1,183 lbs,Murray State,USA
367,ElfridPayton,PHX,2,G,6-3,195 lbs,Louisana-Lafayette,USA
368,GaryPayton II,GSW,0,G,6-3,195 lbs,Oregon State,USA
369,JamorkoPickett,DET,24,F,6-9,206 lbs,Georgetown,USA
370,MasonPlumlee,CHA,24,F-C,6-11,254 lbs,Duke,USA
371,JakobPoeltl,SAS,25,C,7-1,245 lbs,Utah,Austria
372,AleksejPokusevski,OKC,17,F,7-0,190 lbs,Olympiacos,Serbia
373,YvesPons,MEM,5,F,6-5,206 lbs,Tennessee,France
374,JordanPoole,GSW,3,G,6-4,194 lbs,Michigan,USA
375,KevinPorter Jr.,HOU,3,G-F,6-4,203 lbs,USC,USA
376,MichaelPorter Jr.,DEN,1,F,6-10,218 lbs,Missouri,USA
377,OttoPorter Jr.,GSW,32,F,6-8,198 lbs,Georgetown,USA
378,BobbyPortis,MIL,9,F,6-10,250 lbs,Arkansas,USA
379,KristapsPorzingis,DAL,6,F-C,7-3,240 lbs,Cajasol Sevilla,Latvia
380,DwightPowell,DAL,7,F-C,6-10,240 lbs,Stanford,Canada
381,NormanPowell,POR,24,G,6-3,215 lbs,UCLA,USA
382,JasonPreston,LAC,17,G,6-3,181 lbs,Ohio,USA
383,JoshuaPrimo,SAS,11,G,6-4,189 lbs,Alabama,Canada
384,TaureanPrince,MIN,12,F,6-6,218 lbs,Baylor,USA
385,PaytonPritchard,BOS,11,G,6-1,195 lbs,Oregon,USA
386,NeemiasQueta,SAC,88,C,7-0,248 lbs,Utah State,Portugal
387,ImmanuelQuickley,NYK,5,G,6-3,190 lbs,Kentucky,USA
388,Jahmi'usRamsey,SAC,20,G,6-3,190 lbs,Texas Tech,USA
389,JuliusRandle,NYK,30,F-C,6-8,250 lbs,Kentucky,USA
390,AustinReaves,LAL,15,G,6-5,197 lbs,Oklahoma,USA
391,CamReddish,ATL,22,F-G,6-8,217 lbs,Duke,USA
392,PaulReed,PHI,44,F,6-9,210 lbs,DePaul,USA
393,NazReid,MIN,11,C-F,6-9,264 lbs,Louisiana State,USA
394,NickRichards,CHA,14,C,7-0,245 lbs,Kentucky,Jamaica
395,JoshRichardson,BOS,10,G,6-5,200 lbs,Tennessee,USA
396,GrantRiller,PHI,5,G,6-1,190 lbs,College of Charleston,USA
397,AustinRivers,DEN,25,G,6-4,200 lbs,Duke,USA
398,DuncanRobinson,MIA,55,F,6-7,215 lbs,Michigan,USA
399,JustinRobinson,MIL,55,G,6-1,195 lbs,Virginia Tech,USA
400,MitchellRobinson,NYK,23,C-F,7-0,240 lbs,Western Kentucky,USA
401,JeremiahRobinson-Earl,OKC,50,F,6-8,242 lbs,Villanova,USA
402,IsaiahRoby,OKC,22,F,6-8,230 lbs,Nebraska-Lincoln,USA
403,RajonRondo,LAL,4,G,6-1,180 lbs,Kentucky,USA
404,DerrickRose,NYK,4,G,6-2,200 lbs,Memphis,USA
405,TerrenceRoss,ORL,31,G-F,6-6,206 lbs,Washington,USA
406,TerryRozier,CHA,3,G,6-1,190 lbs,Louisville,USA
407,RickyRubio,CLE,3,G,6-2,190 lbs,FC Barcelona,Spain
408,D'AngeloRussell,MIN,0,G,6-4,193 lbs,Ohio State,USA
409,DomantasSabonis,IND,11,F-C,6-11,240 lbs,Gonzaga,Lithuania
410,LukaSamanic,NYK,19,F,6-10,227 lbs,Union Olimpija,Croatia
411,DarioSaric,PHX,20,F-C,6-10,225 lbs,Anadolu Efes,Croatia
412,TomasSatoransky,NOP,31,G,6-7,210 lbs,FC Barcelona,Czech Republic
413,DennisSchroder,BOS,71,G,6-1,172 lbs,Braunschweig,Germany
414,JayScrubb,LAC,0,G,6-5,220 lbs,John A. Logan,USA
415,WayneSelden,NYK,11,G,6-4,232 lbs,Kansas,USA
416,AlperenSengun,HOU,28,C,6-10,243 lbs,Besiktas,Turkey
417,CollinSexton,CLE,2,G,6-1,190 lbs,Alabama,USA
418,LandryShamet,PHX,14,G,6-4,190 lbs,Wichita State,USA
419,Day'RonSharpe,BKN,20,F,6-9,265 lbs,North Carolina,USA
420,PascalSiakam,TOR,43,F,6-8,230 lbs,New Mexico State,Cameroon
421,BenSimmons,PHI,25,G-F,6-11,240 lbs,Louisiana State,Australia
422,MarkoSimonovic,CHI,19,C,6-11,220 lbs,Mega Basket,Montenegro
423,AnferneeSimons,POR,1,G,6-3,181 lbs,Edgewater HS (FL),USA
424,JerichoSims,NYK,45,C,6-9,250 lbs,Texas-Austin,USA
425,MarcusSmart,BOS,36,G,6-4,220 lbs,Oklahoma State,USA
426,ChrisSmith,DET,0,F,6-9,215 lbs,UCLA,USA
427,IshSmith,CHA,10,G,6-0,175 lbs,Wake Forest,USA
428,JalenSmith,PHX,10,F-C,6-10,215 lbs,Maryland,USA
429,DennisSmith Jr.,POR,10,G,6-2,205 lbs,North Carolina State,USA
430,TonySnell,POR,17,G,6-6,213 lbs,New Mexico,USA
431,JadenSpringer,PHI,11,G,6-4,202 lbs,Tennessee,USA
432,LamarStevens,CLE,8,F,6-6,230 lbs,Penn State,USA
433,IsaiahStewart,DET,28,F-C,6-8,250 lbs,Washington,USA
434,MaxStrus,MIA,31,G-F,6-5,215 lbs,DePaul,USA
435,JalenSuggs,ORL,4,G,6-5,205 lbs,Gonzaga,USA
436,Jae'SeanTate,HOU,8,F,6-4,230 lbs,Ohio State,USA
437,JaysonTatum,BOS,0,F-G,6-8,210 lbs,Duke,USA
438,GarrettTemple,NOP,41,G-F,6-5,195 lbs,Louisiana State,USA
439,DanielTheis,HOU,27,F-C,6-9,245 lbs,Brose Bamberg,Germany
440,BrodricThomas,BOS,97,G,6-5,185 lbs,Truman State,USA
441,CamThomas,BKN,24,G,6-3,210 lbs,Louisiana State,Japan
442,MattThomas,CHI,21,G,6-3,190 lbs,Iowa State,USA
443,KlayThompson,GSW,11,G,6-6,220 lbs,Washington State,USA
444,TristanThompson,SAC,13,C-F,6-9,254 lbs,Texas-Austin,Canada
445,JTThor,CHA,21,F,6-9,203 lbs,Auburn,USA
446,MatisseThybulle,PHI,22,G-F,6-5,201 lbs,Washington,USA
447,KillianTillie,MEM,35,F-C,6-9,220 lbs,Gonzaga,France
448,XavierTillman Sr.,MEM,2,F,6-8,245 lbs,Michigan State,USA
449,IsaiahTodd,WAS,14,F,6-9,219 lbs,NBA G League Ignite,USA
450,ObiToppin,NYK,1,F,6-9,220 lbs,Dayton,USA
451,JuanToscano-Anderson,GSW,95,F,6-6,209 lbs,Marquette,USA
452,Karl-AnthonyTowns,MIN,32,C-F,6-11,248 lbs,Kentucky,USA
453,GaryTrent Jr.,TOR,33,G-F,6-5,209 lbs,Duke,USA
454,P.J.Tucker,MIA,17,F,6-5,245 lbs,Texas-Austin,USA
455,MylesTurner,IND,33,C-F,6-11,250 lbs,Texas-Austin,USA
456,JonasValanciunas,NOP,17,C,6-11,265 lbs,Lietuvos rytas Vilnius,Lithuania
457,DenzelValentine,CLE,45,G,6-4,220 lbs,Michigan State,USA
458,FredVanVleet,TOR,23,G,6-1,197 lbs,Wichita State,USA
459,JarredVanderbilt,MIN,8,F,6-9,214 lbs,Kentucky,USA
460,DevinVassell,SAS,24,G-F,6-5,200 lbs,Florida State,USA
461,GabeVincent,MIA,2,G,6-3,200 lbs,California-Santa Barbara,USA
462,NikolaVucevic,CHI,9,C,6-10,260 lbs,Southern California,Montenegro
463,DeanWade,CLE,32,F-C,6-9,228 lbs,Kansas State,USA
464,FranzWagner,ORL,22,F,6-10,220 lbs,Michigan,Germany
465,MoritzWagner,ORL,21,F-C,6-11,245 lbs,Michigan,Germany
466,IshWainright,PHX,,F,6-5,250 lbs,Baylor,USA
467,KembaWalker,NYK,8,G,6-0,184 lbs,Connecticut,USA
468,LonnieWalker IV,SAS,1,G-F,6-4,204 lbs,Miami,USA
469,JohnWall,HOU,1,G,6-3,210 lbs,Kentucky,USA
470,BradWanamaker,IND,10,G,6-3,210 lbs,Pittsburgh,USA
471,T.J.Warren,IND,1,F,6-8,220 lbs,North Carolina State,USA
472,P.J.Washington,CHA,25,F,6-7,230 lbs,Kentucky,USA
473,DuaneWashington Jr.,IND,4,G,6-3,197 lbs,Ohio State,Germany
474,YutaWatanabe,TOR,18,G-F,6-9,215 lbs,George Washington,Japan
475,TrendonWatford,POR,2,F,6-8,237 lbs,Louisiana State,USA
476,PaulWatson,OKC,8,G,6-6,210 lbs,Fresno State,USA
477,RussellWestbrook,LAL,0,G,6-3,200 lbs,UCLA,USA
478,CobyWhite,CHI,0,G,6-4,195 lbs,North Carolina,USA
479,DerrickWhite,SAS,4,G,6-4,190 lbs,Colorado,USA
480,HassanWhiteside,UTA,21,C,7-0,265 lbs,Marshall,USA
481,JoeWieskamp,SAS,15,G-F,6-6,205 lbs,Iowa,USA
482,AaronWiggins,OKC,21,G,6-4,190 lbs,Maryland,USA
483,AndrewWiggins,GSW,22,F,6-7,197 lbs,Kansas,Canada
484,GrantWilliams,BOS,12,F,6-6,236 lbs,Tennessee,USA
485,KenrichWilliams,OKC,34,G-F,6-6,210 lbs,TCU,USA
486,LouWilliams,ATL,6,G,6-2,175 lbs,South Gwinnett HS (GA),USA
487,PatrickWilliams,CHI,44,F,6-7,215 lbs,Florida State,USA
488,ZiaireWilliams,MEM,8,F,6-9,185 lbs,Stanford,USA
489,RobertWilliams III,BOS,44,C-F,6-9,237 lbs,Texas A&M,USA
490,ZionWilliamson,NOP,1,F,6-6,284 lbs,Duke,USA
491,DylanWindler,CLE,9,G-F,6-6,196 lbs,Belmont,USA
492,JustiseWinslow,LAC,20,F-G,6-6,222 lbs,Duke,USA
493,CassiusWinston,WAS,5,G,6-1,185 lbs,Michigan State,USA
494,JamesWiseman,GSW,33,C,7-0,240 lbs,Memphis,USA
495,ChristianWood,HOU,35,F,6-9,214 lbs,UNLV,USA
496,RobertWoodard II,SAC,17,F,6-6,235 lbs,Mississippi State,USA
497,DelonWright,ATL,0,G,6-5,185 lbs,Utah,USA
498,McKinleyWright IV,MIN,25,G,5-11,192 lbs,Colorado,USA
499,ThaddeusYoung,SAS,30,F,6-8,235 lbs,Georgia Tech,USA
500,TraeYoung,ATL,11,G,6-1,164 lbs,Oklahoma,USA
501,OmerYurtseven,MIA,77,C,6-11,275 lbs,Georgetown,Turkey
502,CodyZeller,POR,40,F-C,6-11,240 lbs,Indiana,USA
503,IvicaZubac,LAC,40,C,7-0,240 lbs,Mega Basket,Croatia
